DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,VISITOR_ABBR,HOME_ABBR
2021-01-09,ATLANTA HAWKS,105.0,CHARLOTTE HORNETS,113.0,ATL,CHO
2021-01-09,PHOENIX SUNS,125.0,INDIANA PACERS,117.0,PHO,IND
2021-01-09,MIAMI HEAT,128.0,WASHINGTON WIZARDS,124.0,MIA,WAS
2021-01-09,CLEVELAND CAVALIERS,90.0,MILWAUKEE BUCKS,100.0,CLE,MIL
2021-01-09,SAN ANTONIO SPURS,125.0,MINNESOTA TIMBERWOLVES,122.0,SAS,MIN
2021-01-09,ORLANDO MAGIC,98.0,DALLAS MAVERICKS,112.0,ORL,DAL
2021-01-09,PORTLAND TRAIL BLAZERS,125.0,SACRAMENTO KINGS,99.0,POR,SAC
2021-01-10,UTAH JAZZ,96.0,DETROIT PISTONS,86.0,UTA,DET
2021-01-10,CHICAGO BULLS,127.0,LOS ANGELES CLIPPERS,130.0,CHI,LAC
2021-01-10,OKLAHOMA CITY THUNDER,129.0,BROOKLYN NETS,116.0,OKC,BRK
2021-01-10,DENVER NUGGETS,114.0,NEW YORK KNICKS,89.0,DEN,NYK
2021-01-10,LOS ANGELES LAKERS,120.0,HOUSTON ROCKETS,102.0,LAL,HOU
2021-01-10,SAN ANTONIO SPURS,88.0,MINNESOTA TIMBERWOLVES,96.0,SAS,MIN
2021-01-10,TORONTO RAPTORS,105.0,GOLDEN STATE WARRIORS,106.0,TOR,GSW
2021-01-11,NEW YORK KNICKS,88.0,CHARLOTTE HORNETS,109.0,NYK,CHO
2021-01-11,MEMPHIS GRIZZLIES,101.0,CLEVELAND CAVALIERS,91.0,MEM,CLE
2021-01-11,MILWAUKEE BUCKS,121.0,ORLANDO MAGIC,99.0,MIL,ORL
2021-01-11,PHOENIX SUNS,107.0,WASHINGTON WIZARDS,128.0,PHO,WAS
2021-01-11,PHILADELPHIA 76ERS,94.0,ATLANTA HAWKS,112.0,PHI,ATL
2021-01-11,TORONTO RAPTORS,111.0,PORTLAND TRAIL BLAZERS,112.0,TOR,POR
2021-01-11,INDIANA PACERS,122.0,SACRAMENTO KINGS,127.0,IND,SAC
2021-01-12,MIAMI HEAT,134.0,PHILADELPHIA 76ERS,137.0,MIA,PHI
2021-01-12,DENVER NUGGETS,116.0,BROOKLYN NETS,122.0,DEN,BRK
2021-01-12,UTAH JAZZ,117.0,CLEVELAND CAVALIERS,87.0,UTA,CLE
2021-01-12,LOS ANGELES LAKERS,117.0,HOUSTON ROCKETS,100.0,LAL,HOU
2021-01-12,SAN ANTONIO SPURS,112.0,OKLAHOMA CITY THUNDER,102.0,SAS,OKC
2021-01-12,INDIANA PACERS,104.0,GOLDEN STATE WARRIORS,95.0,IND,GSW
2021-01-13,DALLAS MAVERICKS,104.0,CHARLOTTE HORNETS,93.0,DAL,CHO
2021-01-13,MILWAUKEE BUCKS,110.0,DETROIT PISTONS,101.0,MIL,DET
2021-01-13,BROOKLYN NETS,116.0,NEW YORK KNICKS,109.0,BRK,NYK
