DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-11-07,San Antonio Spurs,94.0,Oklahoma City Thunder,99.0
2021-11-07,Houston Rockets,107.0,Golden State Warriors,120.0
2021-11-07,Charlotte Hornets,106.0,Los Angeles Clippers,120.0
2021-11-08,New York Knicks,103.0,Philadelphia 76ers,96.0
2021-11-08,Brooklyn Nets,95.0,Chicago Bulls,118.0
2021-11-08,Minnesota Timberwolves,118.0,Memphis Grizzlies,125.0
2021-11-08,New Orleans Pelicans,92.0,Dallas Mavericks,108.0
2021-11-08,Miami Heat,96.0,Denver Nuggets,113.0
2021-11-08,Atlanta Hawks,113.0,Golden State Warriors,127.0
2021-11-08,Phoenix Suns,109.0,Sacramento Kings,104.0
2021-11-08,Charlotte Hornets,123.0,Los Angeles Lakers,126.0
2021-11-09,Milwaukee Bucks,118.0,Philadelphia 76ers,109.0
2021-11-09,Atlanta Hawks,98.0,Utah Jazz,110.0
2021-11-09,Portland Trail Blazers,109.0,Los Angeles Clippers,117.0
2021-11-10,Washington Wizards,97.0,Cleveland Cavaliers,94.0
2021-11-10,Brooklyn Nets,123.0,Orlando Magic,90.0
2021-11-10,Toronto Raptors,88.0,Boston Celtics,104.0
2021-11-10,Detroit Pistons,112.0,Houston Rockets,104.0
2021-11-10,Milwaukee Bucks,112.0,New York Knicks,100.0
2021-11-10,Dallas Mavericks,107.0,Chicago Bulls,117.0
2021-11-10,Charlotte Hornets,118.0,Memphis Grizzlies,108.0
2021-11-10,Oklahoma City Thunder,108.0,New Orleans Pelicans,100.0
2021-11-10,Sacramento Kings,117.0,San Antonio Spurs,136.0
2021-11-10,Indiana Pacers,98.0,Denver Nuggets,101.0
2021-11-10,Portland Trail Blazers,109.0,Phoenix Suns,119.0
2021-11-10,Minnesota Timberwolves,110.0,Golden State Warriors,123.0
2021-11-10,Miami Heat,117.0,Los Angeles Lakers,120.0
2021-11-11,Toronto Raptors,115.0,Philadelphia 76ers,109.0
2021-11-11,Indiana Pacers,111.0,Utah Jazz,100.0
2021-11-11,Miami Heat,109.0,Los Angeles Clippers,112.0
2021-11-12,New York Knicks,96.0,Charlotte Hornets,104.0
2021-11-12,Milwaukee Bucks,113.0,Boston Celtics,122.0
2021-11-12,Detroit Pistons,78.0,Cleveland Cavaliers,98.0
2021-11-12,Portland Trail Blazers,104.0,Houston Rockets,92.0
2021-11-12,Phoenix Suns,119.0,Memphis Grizzlies,94.0
2021-11-12,Brooklyn Nets,120.0,New Orleans Pelicans,112.0
2021-11-12,Sacramento Kings,103.0,Oklahoma City Thunder,105.0
2021-11-12,Dallas Mavericks,123.0,San Antonio Spurs,109.0
2021-11-12,Atlanta Hawks,96.0,Denver Nuggets,105.0
2021-11-12,Chicago Bulls,93.0,Golden State Warriors,119.0
2021-11-12,Minnesota Timberwolves,107.0,Los Angeles Lakers,83.0
2021-11-13,Miami Heat,111.0,Utah Jazz,105.0
2021-11-13,Philadelphia 76ers,113.0,Indiana Pacers,118.0
2021-11-13,Memphis Grizzlies,101.0,New Orleans Pelicans,112.0
2021-11-13,Washington Wizards,104.0,Orlando Magic,92.0
2021-11-13,Detroit Pistons,127.0,Toronto Raptors,121.0
2021-11-13,Boston Celtics,89.0,Cleveland Cavaliers,91.0
2021-11-13,Minnesota Timberwolves,102.0,Los Angeles Clippers,129.0
2021-11-14,San Antonio Spurs,106.0,Los Angeles Lakers,114.0
2021-11-14,Milwaukee Bucks,100.0,Atlanta Hawks,120.0
2021-11-14,Golden State Warriors,102.0,Charlotte Hornets,106.0
2021-11-14,Phoenix Suns,115.0,Houston Rockets,89.0
2021-11-14,Brooklyn Nets,120.0,Oklahoma City Thunder,96.0
2021-11-14,Portland Trail Blazers,95.0,Denver Nuggets,124.0
2021-11-14,Chicago Bulls,100.0,Los Angeles Clippers,90.0
2021-11-15,Boston Celtics,98.0,Cleveland Cavaliers,92.0
2021-11-15,Sacramento Kings,129.0,Detroit Pistons,107.0
2021-11-15,New Orleans Pelicans,100.0,Washington Wizards,105.0
2021-11-15,Orlando Magic,111.0,Atlanta Hawks,129.0
2021-11-15,Indiana Pacers,84.0,New York Knicks,92.0
2021-11-15,Denver Nuggets,101.0,Dallas Mavericks,111.0
2021-11-15,Houston Rockets,102.0,Memphis Grizzlies,136.0
2021-11-15,Phoenix Suns,99.0,Minnesota Timberwolves,96.0
2021-11-15,Miami Heat,103.0,Oklahoma City Thunder,90.0
2021-11-15,Toronto Raptors,113.0,Portland Trail Blazers,118.0
2021-11-15,Chicago Bulls,121.0,Los Angeles Lakers,103.0
2021-11-16,Golden State Warriors,117.0,Brooklyn Nets,99.0
2021-11-16,Philadelphia 76ers,85.0,Utah Jazz,120.0
2021-11-16,San Antonio Spurs,92.0,Los Angeles Clippers,106.0
2021-11-17,Washington Wizards,87.0,Charlotte Hornets,97.0
2021-11-17,Indiana Pacers,89.0,Detroit Pistons,97.0
2021-11-17,Boston Celtics,99.0,Atlanta Hawks,110.0
2021-11-17,Cleveland Cavaliers,99.0,Brooklyn Nets,109.0
2021-11-17,New Orleans Pelicans,98.0,Miami Heat,113.0
2021-11-17,Los Angeles Lakers,102.0,Milwaukee Bucks,109.0
2021-11-17,Orlando Magic,104.0,New York Knicks,98.0
2021-11-17,Sacramento Kings,97.0,Minnesota Timberwolves,107.0
2021-11-17,Houston Rockets,89.0,Oklahoma City Thunder,101.0
2021-11-17,Dallas Mavericks,98.0,Phoenix Suns,105.0
2021-11-17,Chicago Bulls,107.0,Portland Trail Blazers,112.0
2021-11-18,Golden State Warriors,104.0,Cleveland Cavaliers,89.0
2021-11-18,Washington Wizards,97.0,Miami Heat,112.0
2021-11-18,Los Angeles Clippers,108.0,Memphis Grizzlies,120.0
2021-11-18,San Antonio Spurs,90.0,Minnesota Timberwolves,115.0
2021-11-18,Philadelphia 76ers,103.0,Denver Nuggets,89.0
2021-11-18,Toronto Raptors,103.0,Utah Jazz,119.0
