DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-11-10,CHI,DAL,117,107,10,1,.506,.857,.484,26,46,.458,.792,.364,23,43
2021-11-10,MEM,CHO,108,118,-10,0,.421,.600,.237,27,57,.456,.875,.417,32,49
2021-11-10,NOP,OKC,100,108,-8,0,.351,.719,.257,24,50,.425,.800,.294,23,56
2021-11-10,SAS,SAC,136,117,19,1,.533,.645,.563,34,43,.516,.813,.278,20,44
2021-11-10,DEN,IND,101,98,3,1,.429,.850,.400,19,39,.476,.636,.355,22,48
2021-11-10,PHO,POR,119,109,10,1,.521,.833,.393,27,39,.484,.875,.233,24,46
2021-11-10,GSW,MIN,123,110,13,1,.471,.800,.275,23,53,.411,.750,.386,30,40
2021-11-10,LAL,MIA,120,117,3,1,.500,.625,.474,26,50,.417,.771,.270,26,47
2021-11-11,PHI,TOR,109,115,-6,0,.455,.947,.324,29,39,.438,1.000,.424,25,47
2021-11-11,UTA,IND,100,111,-11,0,.470,.565,.281,22,37,.448,.737,.355,19,53
2021-11-11,LAC,MIA,112,109,3,1,.473,.882,.297,20,42,.443,.824,.220,18,50
2021-11-12,CHO,NYK,104,96,8,1,.433,.667,.278,25,49,.387,.611,.371,17,51
2021-11-12,BOS,MIL,122,113,9,1,.490,.889,.293,22,53,.449,.818,.340,23,39
2021-11-12,CLE,DET,98,78,20,1,.476,.667,.341,27,40,.367,.846,.300,18,43
2021-11-12,HOU,POR,92,104,-12,0,.400,.630,.219,13,49,.391,.806,.306,21,52
2021-11-12,MEM,PHO,94,119,-25,0,.378,.565,.212,19,59,.489,1.000,.486,28,46
2021-11-12,NOP,BRK,112,120,-8,0,.489,.813,.406,26,43,.500,.741,.529,27,34
2021-11-12,OKC,SAC,105,103,2,1,.424,.733,.333,13,52,.400,.765,.341,20,49
2021-11-12,SAS,DAL,109,123,-14,0,.488,.700,.433,30,41,.460,.684,.400,30,48
2021-11-12,DEN,ATL,105,96,9,1,.444,.750,.286,26,49,.409,.714,.179,20,50
2021-11-12,GSW,CHI,119,93,26,1,.484,.875,.326,27,47,.436,.773,.296,18,38
2021-11-12,LAL,MIN,83,107,-24,0,.354,.800,.220,17,44,.457,.750,.324,24,54
2021-11-13,UTA,MIA,105,111,-6,0,.412,.720,.321,23,38,.494,.875,.394,23,48
2021-11-13,IND,PHI,118,113,5,1,.573,.667,.500,33,37,.427,.862,.522,16,46
2021-11-13,NOP,MEM,112,101,11,1,.481,.880,.483,29,37,.432,.810,.333,21,39
2021-11-13,ORL,WAS,92,104,-12,0,.337,.850,.325,21,44,.500,.800,.343,29,48
2021-11-13,TOR,DET,121,127,-6,0,.506,.645,.382,21,39,.544,.867,.429,34,34
2021-11-13,CLE,BOS,91,89,2,1,.383,.864,.263,17,39,.423,.944,.261,20,47
2021-11-13,LAC,MIN,129,102,27,1,.535,.778,.400,35,57,.392,.688,.306,25,41
2021-11-14,LAL,SAS,114,106,8,1,.518,.765,.484,28,46,.444,.667,.444,28,43
2021-11-14,ATL,MIL,120,100,20,1,.485,.846,.429,21,51,.452,.625,.341,24,30
2021-11-14,CHO,GSW,106,102,4,1,.477,.667,.389,23,39,.422,.680,.231,31,49
2021-11-14,HOU,PHO,89,115,-26,0,.412,.667,.219,19,48,.433,.850,.350,19,52
2021-11-14,OKC,BRK,96,120,-24,0,.400,.909,.311,20,44,.500,.952,.419,31,44
2021-11-14,DEN,POR,124,95,29,1,.522,.786,.475,29,49,.438,.923,.333,22,36
2021-11-14,LAC,CHI,90,100,-10,0,.358,1.000,.324,16,44,.442,.929,.379,19,45
2021-11-15,CLE,BOS,92,98,-6,0,.386,.750,.400,18,42,.462,.800,.345,23,46
2021-11-15,DET,SAC,107,129,-22,0,.406,.941,.277,23,47,.531,.818,.485,32,47
2021-11-15,WAS,NOP,105,100,5,1,.464,.680,.357,23,42,.405,.853,.524,20,45
2021-11-15,ATL,ORL,129,111,18,1,.553,.656,.467,32,46,.453,.643,.372,30,41
2021-11-15,NYK,IND,92,84,8,1,.430,.700,.324,22,46,.372,.750,.216,16,44
2021-11-15,DAL,DEN,111,101,10,1,.500,.700,.389,30,44,.476,.706,.281,20,46
2021-11-15,MEM,HOU,136,102,34,1,.542,.800,.390,33,49,.379,.731,.289,24,46
2021-11-15,MIN,PHO,96,99,-3,0,.365,.778,.295,18,54,.376,.778,.226,21,52
2021-11-15,OKC,MIA,90,103,-13,0,.410,.700,.366,26,42,.451,.846,.450,22,45
2021-11-15,POR,TOR,118,113,5,1,.561,.714,.444,25,39,.461,.889,.455,20,39
2021-11-15,LAL,CHI,103,121,-18,0,.456,.806,.188,19,43,.551,.727,.441,31,36
2021-11-16,BRK,GSW,99,117,-18,0,.386,.778,.278,21,38,.519,.786,.325,25,53
2021-11-16,UTA,PHI,120,85,35,1,.517,.632,.421,27,56,.367,.765,.207,19,42
2021-11-16,LAC,SAS,106,92,14,1,.435,.909,.316,16,52,.432,.714,.227,26,41
2021-11-17,CHO,WAS,97,87,10,1,.438,.500,.313,30,59,.367,.813,.190,23,48
2021-11-17,DET,IND,97,89,8,1,.425,.750,.286,16,42,.418,.737,.243,14,43
2021-11-17,ATL,BOS,110,99,11,1,.506,.833,.351,28,40,.440,.824,.268,24,42
2021-11-17,BRK,CLE,109,99,10,1,.458,.840,.375,29,47,.393,.857,.250,20,50
2021-11-17,MIA,NOP,113,98,15,1,.483,.824,.375,29,39,.440,.786,.286,18,38
2021-11-17,MIL,LAL,109,102,7,1,.460,.708,.324,22,52,.417,.833,.279,24,48
2021-11-17,NYK,ORL,98,104,-6,0,.420,.667,.327,25,45,.406,.833,.289,20,51
2021-11-17,MIN,SAC,107,97,10,1,.500,.833,.278,20,35,.366,.760,.263,19,47
2021-11-17,OKC,HOU,101,89,12,1,.446,.563,.256,18,56,.356,.684,.286,16,46
2021-11-17,PHO,DAL,105,98,7,1,.441,.714,.333,27,49,.418,1.000,.500,28,49
2021-11-17,POR,CHI,112,107,5,1,.440,.964,.355,26,44,.470,.800,.448,23,36
2021-11-18,CLE,GSW,89,104,-15,0,.425,.563,.308,22,42,.494,.875,.349,36,34
2021-11-18,MIA,WAS,112,97,15,1,.500,.833,.385,27,41,.494,.600,.417,25,37
