DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,MARGIN,HOME_TEAM_WINS,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,home_winning_percentage,visitor_winning_percentage
2021-10-27,NOP,ATL,99,102,-3,0,0.43,0.889,0.306,24,44,0.41700000000000004,0.8240000000000001,0.267,21,55,0.2,0.75
2021-10-27,MIL,MIN,108,113,-5,0,0.41100000000000003,0.762,0.275,22,43,0.473,0.8240000000000001,0.289,29,49,0.6,0.75
2021-10-27,OKC,LAL,123,115,8,1,0.5,0.759,0.405,21,42,0.5,0.857,0.314,29,40,0.2,0.4
2021-10-27,PHO,SAC,107,110,-3,0,0.452,0.708,0.273,23,56,0.442,0.733,0.395,28,40,0.25,0.5
2021-10-27,POR,MEM,116,96,20,1,0.46399999999999997,0.742,0.41700000000000004,22,48,0.365,0.474,0.34,27,50,0.5,0.5
2021-10-27,LAC,CLE,79,92,-13,0,0.35600000000000004,0.615,0.22,19,36,0.40700000000000003,0.852,0.15,12,57,0.25,0.6
2021-10-28,WAS,ATL,122,111,11,1,0.465,0.81,0.382,26,51,0.545,0.643,0.28600000000000003,26,43,0.8,0.6
2021-10-28,PHI,DET,110,102,8,1,0.5,0.917,0.444,22,46,0.40700000000000003,0.7040000000000001,0.33299999999999996,22,37,0.6,0.0
2021-10-28,HOU,UTA,91,122,-31,0,0.326,0.87,0.205,15,41,0.48200000000000004,0.8,0.348,24,58,0.2,1.0
2021-10-28,CHI,NYK,103,104,-1,0,0.429,0.909,0.344,25,37,0.45899999999999996,0.75,0.379,16,49,0.8,0.8
2021-10-28,DAL,SAS,104,99,5,1,0.461,0.308,0.4,18,45,0.44299999999999995,0.6,0.4,21,48,0.75,0.2
2021-10-28,GSW,MEM,101,104,-3,0,0.433,0.75,0.35,29,48,0.402,1.0,0.25,25,51,0.8,0.6
2021-10-29,TOR,ORL,110,109,1,1,0.5,0.682,0.3,18,40,0.47100000000000003,0.688,0.47100000000000003,24,46,0.5,0.16666666666666666
2021-10-29,MIA,CHO,114,99,15,1,0.473,1.0,0.257,23,60,0.389,0.727,0.35100000000000003,21,37,0.8,0.6666666666666666
2021-10-29,BRK,IND,105,98,7,1,0.447,0.7559999999999999,0.231,20,50,0.39799999999999996,0.696,0.276,20,46,0.5,0.16666666666666666
2021-10-29,NOP,SAC,109,113,-4,0,0.429,0.64,0.265,18,49,0.5,0.96,0.33299999999999996,19,45,0.16666666666666666,0.6
2021-10-29,DEN,DAL,106,75,31,1,0.518,0.6920000000000001,0.306,28,51,0.295,0.778,0.21600000000000005,14,36,0.6,0.6
2021-10-29,POR,LAC,111,92,19,1,0.418,0.625,0.46299999999999997,21,63,0.391,0.563,0.35700000000000004,17,43,0.6,0.2
