DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away
2021-01-08,LAL,2,117.0,115.0,CHI,.506,.852,.414,21,42,.505,.929,.385,26,41
2021-01-08,SAC,-21,123.0,144.0,TOR,.568,.571,.441,36,26,.582,.818,.513,30,44
2021-01-09,PHI,-12,103.0,115.0,DEN,.417,.600,.314,23,48,.500,.867,.364,28,45
2021-01-09,CHO,8,113.0,105.0,ATL,.519,.750,.455,27,41,.382,.821,.311,25,47
2021-01-09,IND,-8,117.0,125.0,PHO,.478,.708,.414,23,52,.489,1.000,.390,33,40
2021-01-09,WAS,-4,124.0,128.0,MIA,.444,.750,.375,25,39,.495,.769,.372,32,61
2021-01-09,MIL,10,100.0,90.0,CLE,.440,.778,.333,25,45,.414,.688,.269,16,47
2021-01-09,MIN,-3,122.0,125.0,SAS,.500,.647,.500,29,53,.436,.828,.406,22,48
2021-01-09,DAL,14,112.0,98.0,ORL,.494,.778,.500,25,44,.427,.727,.194,17,43
2021-01-09,SAC,-26,99.0,125.0,POR,.407,.714,.267,21,47,.440,.870,.415,26,50
2021-01-10,DET,-10,86.0,96.0,UTA,.333,.857,.238,21,39,.427,.682,.314,17,63
2021-01-10,LAC,3,130.0,127.0,CHI,.489,.800,.526,28,35,.610,.882,.545,30,38
2021-01-10,BRK,-13,116.0,129.0,OKC,.506,.833,.294,23,43,.544,.941,.385,24,34
2021-01-10,NYK,-25,89.0,114.0,DEN,.432,.760,.286,19,36,.536,.750,.429,23,43
2021-01-10,HOU,-18,102.0,120.0,LAL,.411,.696,.293,22,43,.505,.750,.345,28,49
2021-01-10,MIN,8,96.0,88.0,SAS,.420,.826,.346,19,52,.383,.571,.267,21,45
2021-01-10,GSW,1,106.0,105.0,TOR,.409,.895,.283,30,51,.406,.636,.342,20,48
2021-01-11,CHO,21,109.0,88.0,NYK,.487,.870,.406,28,37,.391,.647,.243,20,49
2021-01-11,CLE,-10,91.0,101.0,MEM,.451,.429,.423,20,40,.513,.762,.250,32,40
2021-01-11,ORL,-22,99.0,121.0,MIL,.429,.769,.355,24,44,.505,.800,.371,25,43
2021-01-11,WAS,21,128.0,107.0,PHO,.522,.607,.441,29,53,.448,.833,.148,21,42
2021-01-11,ATL,18,112.0,94.0,PHI,.374,.778,.386,20,58,.402,.923,.222,20,50
2021-01-11,POR,1,112.0,111.0,TOR,.458,.880,.333,18,42,.449,1.000,.404,27,43
2021-01-11,SAC,5,127.0,122.0,IND,.560,.783,.469,29,44,.485,.833,.333,26,37
2021-01-12,PHI,3,137.0,134.0,MIA,.490,.720,.345,32,52,.462,.792,.339,27,46
2021-01-12,BRK,6,122.0,116.0,DEN,.608,.667,.500,31,41,.500,.625,.486,28,32
2021-01-12,CLE,-30,87.0,117.0,UTA,.389,.643,.258,23,40,.500,.750,.533,26,48
2021-01-12,HOU,-17,100.0,117.0,LAL,.392,.750,.300,23,42,.500,.704,.438,26,55
2021-01-12,OKC,-10,102.0,112.0,SAS,.434,.793,.269,18,52,.432,.909,.286,26,46
2021-01-12,GSW,-9,95.0,104.0,IND,.382,.636,.342,25,46,.443,.680,.321,26,50
2021-01-13,CHO,-11,93.0,104.0,DAL,.380,.500,.263,26,53,.417,.563,.326,22,54
2021-01-13,DET,-9,101.0,110.0,MIL,.391,.682,.400,25,47,.482,.643,.442,31,48
2021-01-13,NYK,-7,109.0,116.0,BRK,.478,.833,.393,22,43,.484,.706,.400,29,46
2021-01-13,MIN,-11,107.0,118.0,MEM,.433,.833,.243,27,48,.472,.769,.320,33,47
2021-01-13,OKC,-29,99.0,128.0,LAL,.430,.789,.323,23,42,.495,.773,.459,26,50
2021-01-13,LAC,5,111.0,106.0,NOP,.473,.852,.486,26,36,.477,.750,.357,18,48
2021-01-13,SAC,-6,126.0,132.0,POR,.524,.731,.500,35,42,.489,.778,.479,28,38
2021-01-14,PHI,17,125.0,108.0,MIA,.537,.833,.459,27,35,.494,.615,.353,28,41
2021-01-14,SAS,-4,105.0,109.0,HOU,.457,.750,.290,26,41,.488,.632,.394,25,49
2021-01-14,TOR,3,111.0,108.0,CHO,.455,.846,.400,33,40,.483,.750,.429,32,44
2021-01-14,DEN,10,114.0,104.0,GSW,.456,.778,.297,29,50,.469,.708,.379,29,43
2021-01-14,POR,-24,87.0,111.0,IND,.368,1.000,.302,16,43,.478,.778,.300,29,50
2021-01-15,BOS,27,124.0,97.0,ORL,.511,.895,.405,25,45,.404,.636,.250,14,46
2021-01-15,CLE,3,106.0,103.0,NYK,.456,.735,.333,26,48,.488,.875,.360,20,39
2021-01-15,MIL,3,112.0,109.0,DAL,.448,.480,.378,22,57,.464,.462,.361,22,51
2021-01-15,OKC,2,127.0,125.0,CHI,.457,.667,.333,26,44,.473,.720,.457,27,56
2021-01-15,UTA,24,116.0,92.0,ATL,.467,.714,.455,27,53,.413,.733,.179,21,41
2021-01-15,LAL,17,112.0,95.0,NOP,.419,.731,.405,31,44,.477,.500,.310,22,47
2021-01-15,SAC,-38,100.0,138.0,LAC,.471,.706,.308,23,32,.584,.800,.514,29,47
2021-01-16,SAS,12,103.0,91.0,HOU,.400,.783,.208,19,58,.369,.630,.375,20,51
2021-01-16,BRK,7,122.0,115.0,ORL,.538,.880,.457,24,41,.463,.813,.304,28,38
