DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS,MARGIN,HOME_ABBR,VISITOR_ABBR,HOME_TEAM_WINS,ID
2021-01-01,LOS ANGELES CLIPPERS,100.0,UTAH JAZZ,106.0,6,UTA,LAC,1,76
2021-01-01,PORTLAND TRAIL BLAZERS,123.0,GOLDEN STATE WARRIORS,98.0,-25,GSW,POR,0,77
2021-01-02,SACRAMENTO KINGS,94.0,HOUSTON ROCKETS,102.0,8,HOU,SAC,1,78
2021-01-02,NEW YORK KNICKS,106.0,INDIANA PACERS,102.0,-4,IND,NYK,0,79
2021-01-02,OKLAHOMA CITY THUNDER,108.0,ORLANDO MAGIC,99.0,-9,ORL,OKC,0,80
2021-01-02,CHARLOTTE HORNETS,112.0,PHILADELPHIA 76ERS,127.0,15,PHI,CHO,1,81
2021-01-02,CLEVELAND CAVALIERS,96.0,ATLANTA HAWKS,91.0,-5,ATL,CLE,0,82
2021-01-02,TORONTO RAPTORS,116.0,NEW ORLEANS PELICANS,120.0,4,NOP,TOR,1,83
2021-01-03,BOSTON CELTICS,122.0,DETROIT PISTONS,120.0,-2,DET,BOS,0,84
2021-01-03,WASHINGTON WIZARDS,123.0,BROOKLYN NETS,122.0,-1,BRK,WAS,0,85
2021-01-03,LOS ANGELES LAKERS,108.0,MEMPHIS GRIZZLIES,94.0,-14,MEM,LAL,0,86
2021-01-03,DENVER NUGGETS,124.0,MINNESOTA TIMBERWOLVES,109.0,-15,MIN,DEN,0,87
2021-01-03,UTAH JAZZ,130.0,SAN ANTONIO SPURS,109.0,-21,SAS,UTA,0,88
2021-01-03,DALLAS MAVERICKS,108.0,CHICAGO BULLS,118.0,10,CHI,DAL,1,89
2021-01-03,LOS ANGELES CLIPPERS,112.0,PHOENIX SUNS,107.0,-5,PHO,LAC,0,90
2021-01-03,PORTLAND TRAIL BLAZERS,122.0,GOLDEN STATE WARRIORS,137.0,15,GSW,POR,1,91
2021-01-04,CLEVELAND CAVALIERS,83.0,ORLANDO MAGIC,103.0,20,ORL,CLE,1,92
2021-01-04,CHARLOTTE HORNETS,101.0,PHILADELPHIA 76ERS,118.0,17,PHI,CHO,1,93
2021-01-04,NEW YORK KNICKS,113.0,ATLANTA HAWKS,108.0,-5,ATL,NYK,0,94
2021-01-04,OKLAHOMA CITY THUNDER,90.0,MIAMI HEAT,118.0,28,MIA,OKC,1,95
2021-01-04,BOSTON CELTICS,126.0,TORONTO RAPTORS,114.0,-12,TOR,BOS,0,96
2021-01-04,DALLAS MAVERICKS,113.0,HOUSTON ROCKETS,100.0,-13,HOU,DAL,0,97
2021-01-04,DETROIT PISTONS,115.0,MILWAUKEE BUCKS,125.0,10,MIL,DET,1,98
2021-01-04,INDIANA PACERS,118.0,NEW ORLEANS PELICANS,116.0,-2,NOP,IND,0,99
2021-01-04,SACRAMENTO KINGS,106.0,GOLDEN STATE WARRIORS,137.0,31,GSW,SAC,1,100
2021-01-05,UTAH JAZZ,96.0,BROOKLYN NETS,130.0,34,BRK,UTA,1,101
2021-01-05,LOS ANGELES LAKERS,94.0,MEMPHIS GRIZZLIES,92.0,-2,MEM,LAL,0,102
