DATE,VISITOR,VISITOR_PTS,HOME,HOME_PTS
2021-01-10,Chicago Bulls,127.0,Los Angeles Clippers,130.0
2021-01-10,Oklahoma City Thunder,129.0,Brooklyn Nets,116.0
2021-01-10,Denver Nuggets,114.0,New York Knicks,89.0
2021-01-10,Los Angeles Lakers,120.0,Houston Rockets,102.0
2021-01-10,San Antonio Spurs,88.0,Minnesota Timberwolves,96.0
2021-01-10,Toronto Raptors,105.0,Golden State Warriors,106.0
2021-01-11,New York Knicks,88.0,Charlotte Hornets,109.0
2021-01-11,Memphis Grizzlies,101.0,Cleveland Cavaliers,91.0
2021-01-11,Milwaukee Bucks,121.0,Orlando Magic,99.0
2021-01-11,Phoenix Suns,107.0,Washington Wizards,128.0
2021-01-11,Philadelphia 76ers,94.0,Atlanta Hawks,112.0
2021-01-11,Toronto Raptors,111.0,Portland Trail Blazers,112.0
2021-01-11,Indiana Pacers,122.0,Sacramento Kings,127.0
2021-01-12,Miami Heat,134.0,Philadelphia 76ers,137.0
2021-01-12,Denver Nuggets,116.0,Brooklyn Nets,122.0
2021-01-12,Utah Jazz,117.0,Cleveland Cavaliers,87.0
2021-01-12,Los Angeles Lakers,117.0,Houston Rockets,100.0
2021-01-12,San Antonio Spurs,112.0,Oklahoma City Thunder,102.0
2021-01-12,Indiana Pacers,104.0,Golden State Warriors,95.0
2021-01-13,Dallas Mavericks,104.0,Charlotte Hornets,93.0
2021-01-13,Milwaukee Bucks,110.0,Detroit Pistons,101.0
2021-01-13,Brooklyn Nets,116.0,New York Knicks,109.0
2021-01-13,Memphis Grizzlies,118.0,Minnesota Timberwolves,107.0
2021-01-13,Los Angeles Lakers,128.0,Oklahoma City Thunder,99.0
2021-01-13,New Orleans Pelicans,106.0,Los Angeles Clippers,111.0
2021-01-13,Portland Trail Blazers,132.0,Sacramento Kings,126.0
2021-01-14,Miami Heat,108.0,Philadelphia 76ers,125.0
2021-01-14,Houston Rockets,109.0,San Antonio Spurs,105.0
2021-01-14,Charlotte Hornets,108.0,Toronto Raptors,111.0
2021-01-14,Golden State Warriors,104.0,Denver Nuggets,114.0
2021-01-14,Indiana Pacers,111.0,Portland Trail Blazers,87.0
2021-01-15,Orlando Magic,97.0,Boston Celtics,124.0
2021-01-15,New York Knicks,103.0,Cleveland Cavaliers,106.0
2021-01-15,Dallas Mavericks,109.0,Milwaukee Bucks,112.0
2021-01-15,Chicago Bulls,125.0,Oklahoma City Thunder,127.0
2021-01-15,Atlanta Hawks,92.0,Utah Jazz,116.0
2021-01-15,New Orleans Pelicans,95.0,Los Angeles Lakers,112.0
2021-01-15,Los Angeles Clippers,138.0,Sacramento Kings,100.0
2021-01-16,Houston Rockets,91.0,San Antonio Spurs,103.0
2021-01-16,Orlando Magic,115.0,Brooklyn Nets,122.0
2021-01-16,Charlotte Hornets,113.0,Toronto Raptors,116.0
2021-01-16,Philadelphia 76ers,104.0,Memphis Grizzlies,106.0
2021-01-16,Detroit Pistons,120.0,Miami Heat,100.0
2021-01-16,Atlanta Hawks,106.0,Portland Trail Blazers,112.0
2021-01-17,New York Knicks,105.0,Boston Celtics,75.0
2021-01-17,Chicago Bulls,117.0,Dallas Mavericks,101.0
2021-01-17,Utah Jazz,109.0,Denver Nuggets,105.0
2021-01-17,New Orleans Pelicans,128.0,Sacramento Kings,123.0
2021-01-17,Indiana Pacers,96.0,Los Angeles Clippers,129.0
2021-01-18,Orlando Magic,84.0,New York Knicks,91.0
2021-01-18,Minnesota Timberwolves,97.0,Atlanta Hawks,108.0
2021-01-18,San Antonio Spurs,125.0,Portland Trail Blazers,104.0
2021-01-18,Phoenix Suns,104.0,Memphis Grizzlies,108.0
2021-01-18,Milwaukee Bucks,123.0,Brooklyn Nets,125.0
2021-01-18,Dallas Mavericks,93.0,Toronto Raptors,116.0
2021-01-18,Houston Rockets,120.0,Chicago Bulls,125.0
2021-01-18,Detroit Pistons,107.0,Miami Heat,113.0
2021-01-18,Golden State Warriors,115.0,Los Angeles Lakers,113.0
2021-01-19,Oklahoma City Thunder,101.0,Denver Nuggets,119.0
2021-01-19,New Orleans Pelicans,102.0,Utah Jazz,118.0
2021-01-20,Brooklyn Nets,135.0,Cleveland Cavaliers,147.0
2021-01-20,Dallas Mavericks,124.0,Indiana Pacers,112.0
2021-01-20,Boston Celtics,109.0,Philadelphia 76ers,117.0
2021-01-20,Detroit Pistons,115.0,Atlanta Hawks,123.0
2021-01-20,Miami Heat,111.0,Toronto Raptors,102.0
2021-01-20,Orlando Magic,97.0,Minnesota Timberwolves,96.0
2021-01-20,Phoenix Suns,109.0,Houston Rockets,103.0
2021-01-20,San Antonio Spurs,99.0,Golden State Warriors,121.0
2021-01-20,Sacramento Kings,96.0,Los Angeles Clippers,115.0
2021-01-21,Los Angeles Lakers,113.0,Milwaukee Bucks,106.0
2021-01-21,New York Knicks,119.0,Golden State Warriors,104.0
2021-01-21,New Orleans Pelicans,118.0,Utah Jazz,129.0
2021-01-22,Chicago Bulls,123.0,Charlotte Hornets,110.0
2021-01-22,Houston Rockets,103.0,Detroit Pistons,102.0
2021-01-22,Orlando Magic,118.0,Indiana Pacers,120.0
2021-01-22,Brooklyn Nets,113.0,Cleveland Cavaliers,125.0
2021-01-22,Boston Celtics,110.0,Philadelphia 76ers,122.0
2021-01-22,Miami Heat,81.0,Toronto Raptors,101.0
2021-01-22,Atlanta Hawks,116.0,Minnesota Timberwolves,98.0
2021-01-22,Dallas Mavericks,122.0,San Antonio Spurs,117.0
2021-01-22,Oklahoma City Thunder,106.0,Los Angeles Clippers,120.0
