DATE,HOME_ABBR,VISITOR_ABBR,PTS_home,PTS_away,margin,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS
2021-01-18,NYK,ORL,91.0,84.0,7,0.35600000000000004,0.706,0.185,15,53,0.337,0.875,0.316,18,51,1
2021-01-18,ATL,MIN,108.0,97.0,11,0.468,0.92,0.393,32,48,0.396,0.688,0.378,22,39,1
2021-01-18,POR,SAS,104.0,125.0,-21,0.433,0.8420000000000001,0.28600000000000003,20,34,0.5329999999999999,0.875,0.455,33,48,0
2021-01-18,MEM,PHO,108.0,104.0,4,0.494,0.75,0.423,31,40,0.455,0.563,0.417,30,44,1
2021-01-18,BRK,MIL,125.0,123.0,2,0.5479999999999999,0.857,0.484,26,49,0.438,0.833,0.289,21,41,1
2021-01-18,TOR,DAL,116.0,93.0,23,0.5,0.889,0.364,23,46,0.378,0.815,0.25,21,38,1
2021-01-18,CHI,HOU,125.0,120.0,5,0.467,0.905,0.444,23,47,0.523,0.647,0.425,25,36,1
2021-01-18,MIA,DET,113.0,107.0,6,0.573,0.789,0.4,23,36,0.463,0.75,0.35100000000000003,24,32,1
2021-01-18,LAL,GSW,113.0,115.0,-2,0.482,0.727,0.31,23,50,0.506,0.75,0.324,31,32,0
2021-01-19,DEN,OKC,119.0,101.0,18,0.438,0.929,0.333,29,58,0.419,0.652,0.326,22,41,1
2021-01-19,UTA,NOP,118.0,102.0,16,0.506,0.647,0.447,28,54,0.453,0.667,0.231,17,38,1
2021-01-20,CLE,BRK,147.0,135.0,12,0.514,0.7140000000000001,0.5,29,50,0.453,0.889,0.366,30,52,1
2021-01-20,IND,DAL,112.0,124.0,-12,0.446,0.667,0.41,21,38,0.526,0.8240000000000001,0.29600000000000004,32,49,0
2021-01-20,PHI,BOS,117.0,109.0,8,0.462,0.8,0.333,20,41,0.472,0.65,0.364,22,45,1
2021-01-20,ATL,DET,123.0,115.0,8,0.44,0.684,0.391,21,63,0.454,0.895,0.32299999999999995,22,42,1
2021-01-20,TOR,MIA,102.0,111.0,-9,0.398,0.889,0.327,27,41,0.488,0.882,0.45,29,46,0
2021-01-20,MIN,ORL,96.0,97.0,-1,0.424,0.643,0.429,25,43,0.391,0.7140000000000001,0.32299999999999995,26,48,0
2021-01-20,HOU,PHO,103.0,109.0,-6,0.42,0.8640000000000001,0.32299999999999995,17,39,0.472,0.895,0.235,25,45,0
2021-01-20,GSW,SAS,121.0,99.0,22,0.505,0.7,0.395,31,54,0.3720000000000001,0.8059999999999999,0.121,17,43,1
2021-01-20,LAC,SAC,115.0,96.0,19,0.477,0.944,0.457,24,48,0.453,0.417,0.464,25,39,1
2021-01-21,MIL,LAL,106.0,113.0,-7,0.506,0.75,0.321,27,46,0.466,0.8,0.514,25,38,0
2021-01-21,GSW,NYK,104.0,119.0,-15,0.384,0.7440000000000001,0.237,27,46,0.463,0.78,0.458,24,55,0
2021-01-21,UTA,NOP,129.0,118.0,11,0.5,0.96,0.436,27,39,0.494,0.767,0.44,27,41,1
